SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
136,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 10:00,18
137,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 13:00,0.5
138,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 13:00,0.5
139,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 14:00,0.5
140,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 14:00,0.5
141,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 17:00,0.5
142,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 17:00,0.5
143,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-07-2024 22:00,0.5
144,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-07-2024 00:00,0.5
145,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-07-2024 02:00,0.5
146,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-07-2024 05:00,0.5
147,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-07-2024 05:00,0.5
148,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-07-2024 08:00,0.5
149,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-07-2024 01:00,256
150,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 01:00,0.5
151,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 02:00,1
152,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 02:00,1
153,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 03:00,0.5
154,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 03:00,144.5
155,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 05:00,39
156,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 06:00,221
157,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-07-2024 19:00,128
158,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-07-2024 00:00,32.5
